Random Seed:  999
/mnt/mscteach_home/s1890135/EvolPokeGAN/experiments/experiment_results/PokeGAN_experiment /mnt/mscteach_home/s1890135/EvolPokeGAN/experiments/experiment_results/PokeGAN_experiment/result_loss /mnt/mscteach_home/s1890135/EvolPokeGAN/experiments/experiment_results/PokeGAN_experiment/saved_models /mnt/mscteach_home/s1890135/EvolPokeGAN/experiments/experiment_results/PokeGAN_experiment/outputs
Data loaded
Generator(
  (main): Sequential(
    (0): ConvTranspose2d(100, 512, kernel_size=(4, 4), stride=(1, 1), bias=False)
    (1): BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU(inplace)
    (3): ConvTranspose2d(512, 256, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (4): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU(inplace)
    (6): ConvTranspose2d(256, 128, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (7): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU(inplace)
    (9): ConvTranspose2d(128, 64, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (10): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU(inplace)
    (12): ConvTranspose2d(64, 3, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (13): Tanh()
  )
)
Discriminator(
  (main): Sequential(
    (0): Conv2d(3, 64, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (1): LeakyReLU(negative_slope=0.2, inplace)
    (2): Conv2d(64, 128, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (3): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (4): LeakyReLU(negative_slope=0.2, inplace)
    (5): Conv2d(128, 256, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (6): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (7): LeakyReLU(negative_slope=0.2, inplace)
    (8): Conv2d(256, 512, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (9): BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (10): LeakyReLU(negative_slope=0.2, inplace)
    (11): Conv2d(512, 1, kernel_size=(4, 4), stride=(1, 1), bias=False)
    (12): Sigmoid()
  )
)
Starting Training Loop...
[0/500][0/12]	Loss_D: 1.6147	Loss_G: 5.2526	D(x): 0.6052	D(G(z)): 0.5669 / 0.0074
[1/500][0/12]	Loss_D: 0.1993	Loss_G: 12.1540	D(x): 0.9898	D(G(z)): 0.1558 / 0.0000
[2/500][0/12]	Loss_D: 1.0827	Loss_G: 9.1312	D(x): 0.5687	D(G(z)): 0.0004 / 0.0002
[3/500][0/12]	Loss_D: 1.7788	Loss_G: 12.4169	D(x): 0.3553	D(G(z)): 0.0000 / 0.0000
[4/500][0/12]	Loss_D: 0.7279	Loss_G: 12.1290	D(x): 0.9774	D(G(z)): 0.4272 / 0.0000
[5/500][0/12]	Loss_D: 0.4827	Loss_G: 3.6843	D(x): 0.9214	D(G(z)): 0.2567 / 0.0583
[6/500][0/12]	Loss_D: 0.4399	Loss_G: 5.6748	D(x): 0.7219	D(G(z)): 0.0336 / 0.0081
[7/500][0/12]	Loss_D: 1.0380	Loss_G: 3.8478	D(x): 0.4697	D(G(z)): 0.0093 / 0.0468
[8/500][0/12]	Loss_D: 0.2134	Loss_G: 3.7077	D(x): 0.9211	D(G(z)): 0.1106 / 0.0330
[9/500][0/12]	Loss_D: 0.9996	Loss_G: 8.9978	D(x): 0.9830	D(G(z)): 0.5758 / 0.0003
[10/500][0/12]	Loss_D: 0.5966	Loss_G: 2.6919	D(x): 0.6182	D(G(z)): 0.0203 / 0.0897
[11/500][0/12]	Loss_D: 0.5639	Loss_G: 6.2038	D(x): 0.9731	D(G(z)): 0.3610 / 0.0043
[12/500][0/12]	Loss_D: 0.3724	Loss_G: 5.5623	D(x): 0.9002	D(G(z)): 0.2052 / 0.0060
[13/500][0/12]	Loss_D: 0.1561	Loss_G: 4.0834	D(x): 0.9480	D(G(z)): 0.0937 / 0.0222
[14/500][0/12]	Loss_D: 0.3375	Loss_G: 8.9424	D(x): 0.9464	D(G(z)): 0.2270 / 0.0003
[15/500][0/12]	Loss_D: 0.1601	Loss_G: 5.2543	D(x): 0.9307	D(G(z)): 0.0799 / 0.0076
[16/500][0/12]	Loss_D: 0.1572	Loss_G: 4.5302	D(x): 0.9826	D(G(z)): 0.1264 / 0.0148
[17/500][0/12]	Loss_D: 3.1692	Loss_G: 17.2567	D(x): 0.9996	D(G(z)): 0.9131 / 0.0000
[18/500][0/12]	Loss_D: 0.1958	Loss_G: 4.5567	D(x): 0.9941	D(G(z)): 0.1606 / 0.0150
[19/500][0/12]	Loss_D: 0.1228	Loss_G: 4.9316	D(x): 0.9633	D(G(z)): 0.0792 / 0.0094
[20/500][0/12]	Loss_D: 0.6628	Loss_G: 5.7249	D(x): 0.9786	D(G(z)): 0.3639 / 0.0085
[21/500][0/12]	Loss_D: 0.3211	Loss_G: 1.9605	D(x): 0.7707	D(G(z)): 0.0303 / 0.1834
